doi,title,sentence,char_len
10.1038/s41467-023-39681-1,A sodium-ion-conducted asymmetric electrolyzer to lower the operation voltage for direct seawater electrolysis,It is obvious that our sodium ions conducted asymmetric electrolyzer with Pt SA -Ni 6.6 Fe 0.4 P 3 and Ni 5 Fe 2 P 3 as the catalysts achieves the lowest energy consumption.,173
10.1038/s41467-023-39637-5,Revealing the closed pore formation of waste wood-derived hard carbon for advanced sodium-ion battery,"Noting that the sodium storage mechanism of hard carbon is still controversial, which severely hinders the further improvement of specific capacity and rate capability 2,4 .",173
10.1038/s41467-019-11925-z,Conductive carbon nanofiber interpenetrated graphene architecture for ultra-stable sodium ion battery,The good reversible ability of sodium ions in this MoS 2 @CNFIG hybrid is further confirmed by the superstable discharge/charge plateaus in the 2nd and 5th cycles (Fig. 5b).,173
10.1038/ncomms7929,Na+ intercalation pseudocapacitance in graphene-coupled titanium oxide enabling ultra-fast sodium storage and long-term cycling,Here we demonstrate that the Na þ intercalation pseudocapacitance in TiO 2 /graphene nanocomposites enables high-rate capability and long cycle life in a sodium-ion battery.,173
10.1021/acsaem.0c01614,Sodium Storage Mechanism Investigations through Structural Changes in Hard Carbons,"These values are much smaller compared to when solvated sodium ions are intercalated 31 , indicating that solvent cointercalation into the carbon matrix does not take place.",173
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"Maintaining the hard carbon at a fully charged and discharged state, respectively, the activation energy of desolvation (E a1 ) on S-SEI and I-SEI can be tested (Fig. 4h,i).",173
10.1038/ncomms7401,Ti-substituted tunnel-type Na0.44MnO2 oxide as a negative electrode for aqueous sodium-ion batteries,"Although activated carbon for aqueous sodium-ion batteries is quite stable, the capacity is only ca. 30 mAh g À 1 at a current rate of 1C and the cost is relatively high 36 .",174
10.1038/s41598-017-04958-1,3D free-standing nitrogen-doped reduced graphene oxide aerogel as anode material for sodium ion batteries with enhanced sodium storage,This work proves that the free-standing and binder-free 3D N-doped graphene aerogel is a promising candidate anode material for sodium ion batteries with high energy storage.,174
10.1002/ange.202003972,Realizing Complete Solid-Solution Reaction in High Sodium Content P2-Type Cathode for High-Performance Sodium-Ion Batteries,"During the discharge process, all these shifted diffraction peaks return to their original positions, demonstrating the highly reversible sodium storage behavior in P2-NLNMO.",174
10.1038/am.2016.53,Understanding sodium-ion diffusion in layered P2 and P3 oxides via experiments and first-principles calculations: a bridge between crystal structure and electrochemical performance,"Under the single vacancy approximation, the calculations seem to contradict the experiments, suggesting better Na-ion diffusion kinetics in the P2 phase than in the P3 phase.",174
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"The electrochemical performance of hard carbon-based electrodes is closely dependent on the structural, chemical, textural, and morphological features of the active material.",174
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"In addition to pyrolysis, pre-and/or post-treatments are widely applied during HC synthesis to adjust the properties of the material and thus achieve improved sodium storage.",174
10.1038/s41467-019-10551-z,Tailoring sodium intercalation in graphite for high energy and power sodium ion batteries,"Figure 4d presents rate performance of the Na-ion full cells with 2 M G 1 -or 1 M G 4 -based electrolyte at current densities from 0.05, 0.1, 0.2, 0.5, 1, and 2 to 4 A g -1 .",174
10.1038/ncomms7401,Ti-substituted tunnel-type Na0.44MnO2 oxide as a negative electrode for aqueous sodium-ion batteries,"The aqueous sodium-ion battery system is a safe and low-cost solution for large-scale energy storage, because of the abundance of sodium and inexpensive aqueous electrolytes.",174
10.1039/c4nr07054b,A comparative investigation on the effects of nitrogen-doping into graphene on enhancing the electrochemical performance of SnO<sub>2</sub>/graphene for sodium-ion batteries,A systematic comparison between SnO 2 /nitrogen-doped graphene nanohybrids and the SnO 2 /graphene counterpart as anode materials for sodium-ion batteries has been conducted.,174
10.1007/s40820-020-00567-2,High-Energy and High-Power Pseudocapacitor–Battery Hybrid Sodium-Ion Capacitor with Na+ Intercalation Pseudocapacitance Anode,"At the slow specific current, both the two samples deliver closed capacity of ~ 290 mAh g -1 , indicating that all the active sites are available for faradaic sodium storage.",174
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,Our model shows that hard carbon anodes intrinsically induce a time-dependent desolvation process and enable a dual-SEI structure both on the surface and inside of nanopores.,174
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,Several synthesisproperty-performance relationships are established and insights into Na-ion storage mechanisms and solid electrolyte interphase (SEI) formation are provided.,174
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,"The KOH-activated hard carbon sample has more disordered nature, which is more useful for energy storage applications like supercapacitors due to the presence of active sites.",175
10.1038/s41467-022-30113-0,Entropy and crystal-facet modulation of P2-type layered cathodes for long-lasting sodium-based batteries,"Moreover, the peak fading starts at 350 and 322 °C for the CuMgTi-571 and NaMNO 2 cathodes, respectively, further confirming the inferior structural stability of the NaMNO 2 .",175
10.1002/aenm.201702781,Article type: Full Paper Insights into the Na + Storage Mechanism of Phosphorus-Functionalized Hard Carbon as Ultra-High Capacity Anodes,"Hence, P atoms are inclined to bond with O or C in the heteroatom incorporated frameworks. Recently, Ji et al. confirm that phosphorous is doped in hard carbon in form of POx.",175
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"Plant-derived biopolymers, such as sucrose 69 , cellulose 31 , glucose 70 and lignin 71 , are the main precursors used for the synthesis of hard carbons (81%); see Figure 3.c.",175
10.1038/s41467-021-22523-3,Tuning local chemistry of P2 layered-oxide cathode for high energy and long cycles of sodium-ion battery,"A wide range of host materials, such as transitionmetal oxides, phosphates, Prussian blue analogs, and so on, have been investigated for reversible (de)intercalation of Na + .",175
10.1039/c8ta09422e,A Novel P3-type Na2/3Mg1/3Mn2/3O2 as High Capacity Sodium-Ion Cathode Using Reversible Oxygen Redox,This inspires us to explore the plausibility of achieving ultrahigh reversible capacity in the unknown P3-type Na 2/3 Mg 1/3 Mn 2/3 O 2 using reversible oxygen redox reaction.,175
10.1038/s41467-019-09170-5,NASICON-type air-stable and all-climate cathode for sodium-ion batteries with low cost and high-power density,"Its high sodium diffusion coefficient has been measured and analysed via first-principles calculations, and its three-dimensional sodium ion diffusion pathways are identified.",175
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"However, it appears that during studies of the Na storage mechanism, discrepancies arise due to the large variety of hard carbons and the different processing parameters used.",175
10.1038/s41598-017-04958-1,3D free-standing nitrogen-doped reduced graphene oxide aerogel as anode material for sodium ion batteries with enhanced sodium storage,Graphene aerogel was chose as a comparison to gain a better understanding of the effects of nitrogen doping on the electrochemical properties and sodium ion storage mechanism.,175
10.1002/adfm.201910327,Article type: Full Paper Ultralow-strain Zn-substituted Layered Oxide Cathode with Suppressed P2-O2 Transition for Stable Sodium Ion Storage,"During the charge process, four different P2-type phases (P2', P2'', P2''', and P2'''' as marked in Figure 3d) appear successively with differently evolved lattice parameters.",175
10.1021/acsami.5b10875,Carbonized-leaf Membrane with Anisotropic Surfaces for Sodium-ion Battery,"To study the sodium ion storage properties, carbonized leaf is directly used as the electrodes in coin cells without using any binders, carbon additives or current collectors.",175
10.1039/d2ta02451a,Boosting Electrochemical Reaction and Suppressing Phase Transition with High-Entropy O3-Type Layered Oxide for Sodium-Ion Batteries,"However, sodium ions can quickly go through the two-dimensional bottleneck formed by oxygen cage in the P3 structure , which corresponds to the slope region on the GCD curves.",175
10.1039/d1ee01346g,Homogenous metallic deposition regulated by defect-rich skeletons for sodium metal batteries,"In Stage II of this model, the intensity ratio of D-to G-peaks (I D /I G ) of hard carbons increases when the defect concentration among graphene layers within hard 1 and Fig.",175
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"This peak corresponds to the typical graphite intercalation compounds 63 , suggesting that the Na + may be intercalated/inserted into the graphite microdomain of hard carbons.",175
10.1039/d3ta06641j,Research progress of Prussian blue and its analogues for cathodes of aqueous zinc ion batteries,Yamauchi et al. 101 reported that hollow Prussian blue (PB) particles can be prepared by etching PB mesocrystals in HCl solution in the presence of polyvinylpyrrolidone (PVP).,175
10.1021/acsaem.0c01614,Sodium Storage Mechanism Investigations through Structural Changes in Hard Carbons,A larger contribution to the sloping region is seen in the lower temperature hard carbons with larger interlayer distance as compared to the higher carbonization temperatures.,175
10.1038/s41467-019-11925-z,Conductive carbon nanofiber interpenetrated graphene architecture for ultra-stable sodium ion battery,"EDX mapping of Na, Mo, and S elements can be clearly detected (Fig. 6b), confirming the stable structure of the MoS 2 @CNFIG hybrid and its effective adsorption of sodium ions.",176
10.1039/d0ee01363c,A revised mechanistic model for sodium insertion in hard carbons,"Sodium-ion batteries (NIBs) have shown potential as a cost-effective successor to lithium-ion batteries (LIBs) for large-scale, low cost electrical energy storage applications.",176
10.1002/aenm.201501005,WlLEY-VCH Article type: Full Paper A novel high capacity positive electrode material with tunnel-type structure for aqueous sodium-ion batteries,"If all sodium ions in the Na0.44MnO2 (Mn3i6+) electrode can be extracted, the theoretical capacity would be 122 mAh g-1, corresponding to sodium composition range of 0 to 0.44.",176
10.1038/s41467-022-30113-0,Entropy and crystal-facet modulation of P2-type layered cathodes for long-lasting sodium-based batteries,"The peak, which is most sensitive to the Na content during charging/discharging, is usually used to monitor the phase transformation of P2-type layered cathodes during heating.",176
10.1038/ncomms7865,Radially aligned hierarchical columnar structure as a cathode material for high energy density sodium-ion batteries,"In addition, the rate capability of the RAHC Na[Ni 0.60 Co 0.05 Mn 0.35 ]O 2 /hard carbon full cell is compared with the bulk Na[Ni 0.60 Co 0.05 Mn 0.35 ]O 2 cathode (Fig. 5e).",176
10.1039/c6ee01750a,"Structurally stable Mg-doped P2-Na<sub>2/3</sub>Mn<sub>1−y</sub>Mg<sub>y</sub>O<sub>2</sub> sodium-ion battery cathodes with high rate performance: insights from electrochemical, NMR and diffraction studies","Sodium(Na)-based systems are one of the more promising emerging technologies, and much effort is currently put into finding high performance Na-ion electrodes and electrolytes.",176
10.1038/ncomms7401,Ti-substituted tunnel-type Na0.44MnO2 oxide as a negative electrode for aqueous sodium-ion batteries,"For the negative electrode materials, only a few materials, including activated carbon and NaTi 2 (PO 4 ) 3 have been identified in the literature 21, for sodium-ion batteries.",176
10.1038/s41467-020-16077-z,Red-phosphorus-impregnated carbon nanofibers for sodium-ion batteries and liquefaction of red phosphorus,"Phosphorus (P) is one of the most abundant elements in the continental crust and oceans, and its specific capacity of 2596 mAh g -1 offers much promise to sodium-ion batteries.",176
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,"These findings, demonstrated on NASICON electrolytes, are general and transferable to the study of ionic transport in other topical mixedpolyanion Li and Na solid electrolytes.",176
10.1038/ncomms15888,Sodium vanadium titanium phosphate electrode for symmetric sodium-ion batteries with high power and long lifespan,"A symmetric sodium-ion full cell demonstrates a superior rate capability with a specific capacity of about 49 mA h g À 1 at 20 C rate and ultralong lifetime over 10,000 cycles.",176
10.1007/s40820-018-0200-x,Improved Electrochemical Performance Based on Nanostructured SnS 2 @CoS 2 -rGO Composite Anode for Sodium-Ion Batteries,"Additionally, compared with previously reported tin sulfide and cobalt sulfide-based anodes, the present material manifests great competitiveness in SIB applications (Table 1).",176
10.1038/s41467-019-11925-z,Conductive carbon nanofiber interpenetrated graphene architecture for ultra-stable sodium ion battery,"Here, the vertically aligned channels in the MoS 2 @CNFIG hybrid ensure rapid penetration of the electrolyte and also contribute to the rapid transfer of sodium ions (Fig. 3b).",176
10.1038/s41467-023-38822-w,Bioinspired design of Na-ion conduction channels in covalent organic frameworks for quasi-solid-state sodium batteries,"A symmetric cell was assembled with two sodium electrodes (300 μm, 99.7%) in an argon-filled glovebox (H 2 O and O 2 <1 ppm) to measure the Na-ion transference number (t Na+ ).",176
10.1038/s41467-022-30942-z,Niobium-doped layered cathode material for high-power and low-temperature sodium-ion batteries,"These battery performances are well-positioned compared to the state-of-the-art literature of Na-ion cells 49, , as shown in Supplementary Fig. 32, Supplementary Tables 7 and8.",176
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications","In the case of low concentration salt and tetrahydrofuran solvent, the interaction between solvent and sodium ions is low to realize fast reaction kinetics at low temperatures.",176
10.1038/s41467-022-30942-z,Niobium-doped layered cathode material for high-power and low-temperature sodium-ion batteries,"Moreover, as can be seen in Fig. 7c, the hard carbon||P2-NaMNNb coin cell tested at -40 °C and 92 mA g -1 demonstrates capacity retention of approximately 89% after 100 cycles.",176
10.1039/d3ee03141a,Quantitative analysis of sodium metal deposition and interphase in Na metal batteries,"These advances position sodium metal as a viable candidate for enabling the next generation of energy storage technologies, with specifications close to practical requirements.",176
10.1038/s41467-023-39637-5,Revealing the closed pore formation of waste wood-derived hard carbon for advanced sodium-ion battery,"Here, we employ waste woodderived hard carbon as a template to systematically establish the formation mechanisms of closed pores and their effect on sodium storage performance.",176
10.1038/s41467-020-15938-x,Operando visualisation of battery chemistry in a sodium-ion battery by 23Na magnetic resonance imaging,"We have performed, for the first time, operando 23 Na NMR spectroscopy and 1 H and 23 Na MRI during galvanostatic cycling and plating in both full-cells and sodium metal cells.",176
10.1038/s41467-019-10551-z,Tailoring sodium intercalation in graphite for high energy and power sodium ion batteries,"When assembled in the sodium ion full cell using Na 0.7 CoO 2 as a cathode, it could still retain a high-power capability of 300 W kg -1 and long cycle life of 1000 cycles 25 .",176
10.1039/c7ee02995k,"High voltage structural evolution and enhanced Na-ion diffusion in P2-Na<sub>2/3</sub>Ni<sub>1/3−x</sub>Mg<sub>x</sub>Mn<sub>2/3</sub>O<sub>2</sub> (0 ≤ <i>x</i> ≤ 0.2) cathodes from diffraction, electrochemical and <i>ab initio</i> studies",Layered P2-type compounds have shown enhanced electrochemical performance as they generally undergo fewer structural transitions when (de)intercalating Na-ions compared to O3 .,176
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,The present study aimed to synthesize a cost effective and eco-friendly hard carbon from biomass and determine the suitability of the material for supercapacitors applications.,176
10.1038/ncomms7401,Ti-substituted tunnel-type Na0.44MnO2 oxide as a negative electrode for aqueous sodium-ion batteries,Here we show that Ti-substituted Na 0.44 MnO 2 (Na 0.44 [Mn 1-x Ti x ]O 2 ) with tunnel structure can be used as a negative electrode material for aqueous sodium-ion batteries.,176
10.1002/aenm.201501005,WlLEY-VCH Article type: Full Paper A novel high capacity positive electrode material with tunnel-type structure for aqueous sodium-ion batteries,"In summary, Na0.66[Mn0.66Ti0.34]O2 was successfully designed and synthesized by a simple solid-state method and its structure was systematically studied using synchrotron powder",177
10.1002/adfm.201910327,Article type: Full Paper Ultralow-strain Zn-substituted Layered Oxide Cathode with Suppressed P2-O2 Transition for Stable Sodium Ion Storage,"Such ultralow strain characteristic ensures a stable host for sodium ion storage, which significantly improves the cycling stability and rate capability of the cathode material.",177
10.1002/adfm.201700856,Oxygen Vacancies Evoked Blue TiO2(B) Nanobelts with Efficiency Enhancement in Sodium Storage Behaviors,"Density functional theory (DFT) calculations shed light on regarding electronic properties, lattice interlayer spacing, OVs site, and the energy barrier of sodium intercalation.",177
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,"At low temperatures (e.g., ~193 K for x = 3.4, Supplementary Fig. 10c) NASICON samples show two predominant semicircles in the complex impedance plot (also called Nyquist plot).",177
10.1038/ncomms10308,Insertion compounds and composites made by ball milling for advanced sodium-ion batteries,"This is reflected in the revival of Na-ion battery (NIB) research, a field in which intense efforts are currently devoted to the search for high-performance electrode materials.",177
10.1021/cm504339y,Ordered and disordered polymorphs of Na(Ni2/3Sbl/3)O2: local structural ordering in honeycomb cathodes for Na-ion batteries,"Sodium metal was used as the anode material, and the electrolyte was 1 M NaPF6 in a 1:1 volumetric mixture of anhydrous ethylene carbonate and dimethyl carbonate (EC:DMC = 1:1).",177
10.1038/s41467-020-15938-x,Operando visualisation of battery chemistry in a sodium-ion battery by 23Na magnetic resonance imaging,"Furthermore, we observe, to our knowledge for the first time, the formation of metallic sodium species on hard carbon upon first charge (formation) in a full-cell configuration.",177
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"The function of hard carbon in converting solvation structures can also be observed from CH 2 rocking and C-O-C stretching of G2 solvents 53,55 as shown in Supplementary Fig. 7.",177
10.1039/c8ta09422e,A Novel P3-type Na2/3Mg1/3Mn2/3O2 as High Capacity Sodium-Ion Cathode Using Reversible Oxygen Redox,The P3-type Na 2/3 Mg 1/3 Mn 2/3 O 2 is found to work as a promising high energy density and superior low-cost sodium-ion cathode using reversible lattice oxygen redox reaction.,177
10.1039/d3ta06641j,Research progress of Prussian blue and its analogues for cathodes of aqueous zinc ion batteries,"While the side length of the Prussian blue nanocube varies between 250 nm and 450 nm between 40 °C and 70 °C, the concentration of K 4 [Fe(CN) 6 ] is maintained at 1 mmol L -1 .",177
10.1038/s41467-018-03257-1,Monovalent manganese based anodes and co-solvent electrolyte for stable low-cost high-rate sodium-ion batteries,Full-cell testing was performed in vacuum-sealed pouch cells containing a cellulosic separator and a half-charged Prussian blue reference electrode that operated as an observer.,177
10.1039/c6cc06990h,Mechanistic insights into sodium storage in hard carbon anodes using local structure probes,"In the following, we explore the different proposed mechanisms for sodium insertion, studying a commercial hard carbon using X-ray total scattering PDF analysis and 23 Na ssNMR.",177
10.1039/c4ta06186a,Phosphorus–carbon nanocomposite anodes for lithium-ion and sodium-ion batteries,We estimate that not more than 2.4 sodium ions per one phosphorus atom (instead of 3 sodium ions) got incorporated into the electrode during the rst discharge of the half-cell.,177
10.1039/c4ee03361b,High-performance symmetric sodium-ion batteries using a new bipolar material O3-type Na 0.8 Ni 0.4 Ti 0.6 O 2,"The crystal structures of the bipolar material were characterized by high-resolution synchrotron X-ray diffraction (HR-SXRD), displaying O3-type structure with high crystalline.",177
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,The comprehensive statistical analysis of this study addresses the role played by the PO 4 and SiO 4 distributions on overall Na-ion transport in Na 1+x Zr 2 Si x P 3-x O 12 19 .,178
10.1038/am.2016.53,Understanding sodium-ion diffusion in layered P2 and P3 oxides via experiments and first-principles calculations: a bridge between crystal structure and electrochemical performance,"Layered Na x MeO 2 (Me = transition metal) oxides, the most common electrode materials for sodium-ion batteries, fall into different phases according to their stacking sequences.",178
10.1038/s41467-022-35617-3,Surface-redox sodium-ion storage in anatase titanium oxide,A combination of in-situ and ex-situ characterization has been used to determine the sodium-ion storage mechanism of TiO 2 (A) nanoparticles which range in size from 5 to 100 nm.,178
10.1002/aenm.201702403,"Challenges on Developing Electrodes, Electrolytes and Diagnostics tools to Understand and Advance Sodium-ion Batteries","Also, the high polarizability of Se 2-could lower the barrier between Na + and the anion framework. 398 Another attractive Na + ionic conductor is based on the NASICON compounds.",178
10.1039/c5ta05769h,BNL-108557-2015-JA O3-type Layered Transition Metal Oxide Na(NiCoFeTi)i/4O2 as a High Rate and Long Cycle Life Cathode Material for Sodium Ion Batteries,Sodium-ion batteries have attracted increasing attentions for large-scale energy storage applications because of the natural abundance of sodium resources and potential low cost.,178
10.1007/s41918-024-00215-y,"Recent Progress in Sodium-Ion Batteries: Advanced Materials, Reaction Mechanisms and Energy Applications","Moreover, the bismuth compounds could achieve compact sodium deposition in the sodiophilic framework during the cycle, which was conducive to promote the sodium storage behavior.",178
10.1002/aenm.201700514,Additional Sodium Insertion into Polyanionic Cathodes for Higher‐Energy Na‐Ion Batteries,We have also experimentally demonstrated that Al substitution into Na 3 V 2 (PO 4 ) 2 F 3 decreases the energy barrier hindering sodium insertion towards Na 4 V 2 (PO 4 ) 2 F 3 .,178
10.1038/s41598-017-04958-1,3D free-standing nitrogen-doped reduced graphene oxide aerogel as anode material for sodium ion batteries with enhanced sodium storage,"Forth, the defects introduced by nitrogen doping make the feasible transport of large-sized sodium ion between graphene sheets and also increase the storage sites for sodium ion.",178
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"In addition to compositional changes in SEIs, a new peak at about 282.5 eV can be identified from C 1s fitting results for the hard carbon cycled in ester electrolytes (Fig. 5b).",178
10.1002/aenm.201602894,Mechanism of Na-Ion Storage in Hard Carbon Anodes Revealed by Heteroatom Doping,The understanding generated in this work provides a totally new set of guiding principles for materials engineers working to optimize hard carbon for Na-ion battery applications.,178
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"As mentioned in the Introduction, hard carbons have a disordered and non-graphitizing structure, including curved and randomly aligned graphene sheets with a microporous texture.",178
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,"Previously we have shown that, under equilibrium conditions, NASICON should phase separate into P-rich and Si-rich domains, particularly across Na concentrations from x = 0-2 19 .",179
10.1038/ncomms7865,Radially aligned hierarchical columnar structure as a cathode material for high energy density sodium-ion batteries,"These data indicate that the Ni 2 þ /3 þ /4 þ redox reaction can be utilized to obtain high capacity in O3-type Ni-rich layer compounds, even at high rates, in the RAHC particles.",179
10.1039/d3ee03141a,Quantitative analysis of sodium metal deposition and interphase in Na metal batteries,"Notably, unlike lithium-ion chemistry, the findings of this study emphasize a similar high-rate compatibility in both charging and discharging reactions in sodium metal batteries.",179
10.1038/s41467-019-09170-5,NASICON-type air-stable and all-climate cathode for sodium-ion batteries with low cost and high-power density,The development of low-cost and long-lasting all-climate cathode materials for the sodium ion battery has been one of the key issues for the success of large-scale energy storage.,179
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,"Through careful synthesis and AC impedance characterization of the Na 3.4 Zr 2 Si 2.4 P 0.6 O 12 , we have confirmed its high Na-ion conductivity, as predicted by our simulations.",179
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"According to the model, the sodium ions are inserted between nearly parallel layers of carbon in the sloping region, followed by pore filling in the plateau potential region 284 .",179
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,"The authors showed that at 1200 °C, the hard carbon produced from lignin has a much lower N2 SSA (19.7 m 2 g -1 ) compared to that of HC derived from cellulose (103.1 m 2 g - 1 ).",179
10.1038/ncomms7929,Na+ intercalation pseudocapacitance in graphene-coupled titanium oxide enabling ultra-fast sodium storage and long-term cycling,"To the best of our knowledge, this is the best rate capability among all reported Ti-based anode materials as well as the hard carbon and other metal oxides for SIBs 28,29,47,48 .",179
10.1021/am507679x,A Low-Surface-Area Hard Carbon Anode for Na-Ion Batteries via Graphene Oxide as a Dehydration Agent,"Herein, we report an effective strategy to minimize the surface area of sucrose-derived hard carbon simply by introducing graphene oxide (GO) suspension into the sucrose solution.",179
10.1039/c6ra01870j,A promising anode material for sodium-ion battery with high capacity and high diffusion ability: graphyne and graphdiyne,"For double-layer GDY with AB stacking pattern, the conguration with maximum sodium storage capacity not losing structural stability corresponds to NaC 6 , as depicted in Fig. 2b.",179
10.1038/s41598-019-52006-x,Natural biomass derived hard carbon and activated carbons as electrochemical supercapacitor electrodes,"De-ionized water was used to prepare solution of potassium hydroxide. hard carbon was prepared by a three step procedure which included dehydration, porogenic stage and pyrolysis.",179
10.1039/d3ee03141a,Quantitative analysis of sodium metal deposition and interphase in Na metal batteries,"When sodium metal comes into direct contact with the liquid electrolyte, a spontaneous chemical corrosion process can occur, leading to detrimental effects on battery performance.",179
10.1039/c9ta12376h,Manganese hexacyanoferrate reinforced by PEDOT coating towards high-rate and long-life sodium-ion battery cathode,"The inhibited dissolution of Mn/Fe, suppressed phase transition, and improved capacitive storage that benet from the PEDOT coating greatly promote the sodium storage performance.",179
10.1038/s41467-021-25074-9,Engineering Na+-layer spacings to stabilize Mn-based layered cathodes for sodium-ion batteries,"Compared to P2-type Na 0.67 MnO 2 , the calculated geomean D Na+ values of S-NMO are 11 times higher during the charge process and 2 times higher during the discharge process 20 .",179
10.1039/c7ee02995k,"High voltage structural evolution and enhanced Na-ion diffusion in P2-Na<sub>2/3</sub>Ni<sub>1/3−x</sub>Mg<sub>x</sub>Mn<sub>2/3</sub>O<sub>2</sub> (0 ≤ <i>x</i> ≤ 0.2) cathodes from diffraction, electrochemical and <i>ab initio</i> studies","Discharge (sodium insertion) was performed specifically at a slower rate (10 mA g -1 ) to give better resolution of the phase changes, and thus these are discussed in more detail.",179
10.1038/s41467-017-00211-5,Alkaline earth metal vanadates as sodium-ion battery anodes,"The Na-ion full cells were fabricated using the same separator and electrolyte as the half cells, with CVO-450 as the anode and Na 3 V 2 (PO 4 ) 3 /C nanoparticles as the cathode.",179
10.1039/d2ta02451a,Boosting Electrochemical Reaction and Suppressing Phase Transition with High-Entropy O3-Type Layered Oxide for Sodium-Ion Batteries,"It is worth noting that the diffusion coefficient shows good symmetry during the charge and discharge process, which implies the remarkable reversibility of sodium ion diffusions.",179
10.1038/ncomms15888,Sodium vanadium titanium phosphate electrode for symmetric sodium-ion batteries with high power and long lifespan,"In symmetrical sodium-ion battery test, the battery was assembled into a coin-type full cell and was anode limited with as-prepared Na 2 VTi(PO 4 ) 3 @C as both cathode and anode.",179
10.1038/s41467-024-47522-y,Consummating ion desolvation in hard carbon anodes for reversible sodium storage,"To avoid the solvation structure of the electrolyte due to longterm exposure to the air, the hard carbon electrode was placed in an in situ Raman cell (Hohsen Corp., Osaka, Japan).",180
10.1002/aenm.201702403,"Challenges on Developing Electrodes, Electrolytes and Diagnostics tools to Understand and Advance Sodium-ion Batteries","However, the detailed sodium insertion/extraction mechanism is not consistent, which impedes further improvement of the electrochemical performance of TiO 2 -based anode materials.",180
10.1002/aenm.202303833,Review: Insights on Hard Carbon Materials for Sodium‐Ion Batteries (SIBs): Synthesis – Properties – Performance Relationships,The good Na-ion insertion was associated with the short diffusion distance provided by the carbon nanowire and the large interlayer distance (0.37 nm) between the graphitic sheets.,180
10.1038/s41467-022-32190-7,Fundamental investigations on the sodium-ion transport properties of mixed polyanion solid-state battery electrolytes,One of the main reasons behind the high degree of correlation (as indicated by H R and f) in NASICON is the high sensitivity of the E KRA s to the local Si/P environment (Fig. 1e).,180
10.1002/aenm.202201989,High-Entropy and Superstructure-Stabilized Layered Oxide Cathodes for Sodium-Ion Batteries,"The structure evolution difference between x=0, x=1/12, and x=1/6 of Na2/3LixFe1/6Co1/6Ni1/6Mn1/2-xO2 suggests the significance of superstructure in stabilizing the host structure.",180
10.1038/s41598-020-66148-w,Investigation on the Electrochemical Performances of Mn2O3 as a Potential Anode for Na-Ion Batteries,"Coin-type cell (CR 2032) was assembled in an Argon-filled glove box (Mbraun, Unilab, Germany) using sodium metal (Sigma-Aldrich, 99.9% trace metals basis) as the counter electrode.",180
10.1038/am.2016.53,Understanding sodium-ion diffusion in layered P2 and P3 oxides via experiments and first-principles calculations: a bridge between crystal structure and electrochemical performance,"By analyzing the above calculation results, we see that the energy barrier of the Na-ion diffusion is largely determined by the energy differences between the Na I and Na II sites.",180
