doi,title,year,abstract,citations,source
10.1007/s11172-017-1896-3,From lithium-ion to sodium-ion battery,2017,,31,crossref
10.1016/j.carbon.2015.08.069,Core-sheath structured porous carbon nanofiber composite anode material derived from bacterial cellulose/polypyrrole as an anode for sodium-ion batteries,2015,,101,crossref
10.1557/s43581-022-00041-z,High-rate NaMo0.05Ti1.95(PO4)3 for aqueous sodium-ion battery anode material,2022,,3,crossref
10.15541/jim20250187,Boron and Nitrogen Co-doped Biomass Carbon Sphere Anode Material: Preparation and Sodium Storage Properties for Sodium-ion Batteries,2025,,0,crossref
10.1149/2.0781605jes,Na-Doped Li<sub>4</sub>Ti<sub>5</sub>O<sub>12</sub>as an Anode Material for Sodium-Ion Battery with Superior Rate and Cycling Performance,2016,,53,crossref
10.1149/ma2024-02674406mtgabs,High-Performance Na-Ion Battery Anode Using Graphene Oxide Quantum Dots,2024,"<jats:p>  	Graphene Oxide Quantum Dots (GOQD) have shown remarkable potential in enhancing the performance of sodium-ion (Na-ion) battery anodes. This study explores the potential of GOQD as an anode material, leveraging its unique properties to enhance the performance of Na-ion batteries. GOQD are known for their exceptional electrical and optical properties, biocompatibility, and low toxicity, making them an ideal candidate for energy storage applications. Our research demonstrates that integr",0,crossref
10.5370/kiee.2023.72.3.406,A Review on the Development Trend of Transition Metal-based Anode Material for Sodium-ion Battery (SIB) Performance Improvement,2023,,0,crossref
10.1063/5.0141032,Honeycomb-kagome FSL-graphene: A carbon allotrope as an ultra-high capacity anode material for fast-rechargeable sodium-ion battery,2023,"<jats:p>Sodium-ion batteries (SIBs) are promising candidates for large-scale energy storage due to the abundance and low cost of sodium. However, graphite, the primary anode for commercial lithium-ion batteries, cannot be applied to SIBs. Its two-dimensional (2D) counterpart graphene is also inactive toward Na ions because of the delocalized π-electron network. We propose an idea to tackle this problem by introducing kagome topology into the honeycomb lattice, creating localized electronic state",28,crossref
10.1021/acsnano.5b04474,"Advanced Sodium Ion Battery Anode Constructed <i>via</i> Chemical Bonding between Phosphorus, Carbon Nanotube, and Cross-Linked Polymer Binder",2015,,282,crossref
10.2139/ssrn.4180013,High-Performance Sno2 Anode Boosted by an N-Doped Graphite Coating Layer for Lithium-Ion and Sodium-Ion Batteries,2022,,0,crossref
10.54254/2755-2721/2025.kl22618,The Progress in Synthesis of Efficient Carbon-Based Anode Materials for Sodium Ion Batteries,2025,"<jats:p>With the increasing demand for clean energy, Sodium-ion batteries (SIBs) have become a potential substitute for lithium-ion batteries because of their low cost, high safety and abundant sodium resources. However, the energy density of sodium ion batteries is low, and the development of electrode materials, especially negative electrode materials, is facing challenges. Due to their low cost, simple preparation process, and high electrochemical stability, carbon-based materials have emerge",0,crossref
10.1149/ma2024-0291301mtgabs,(Invited) Design and Synthesis of Heterostructured Anode Materials for Advanced Sodium-Ion Batteries,2024,"<jats:p>  	The transition toward carbon neutrality has accelerated the adoption of electric vehicles and large-scale energy storage systems, predominantly powered by lithium-ion batteries. However, concerns over the limited lithium resources necessitate exploring alternative battery systems. Sodium-ion batteries stand out due to the abundant supply and economic feasibility of sodium compared to lithium.</jats:p>
               <jats:p>This study focuses on developing high-capacity anode material",0,crossref
10.1016/j.jallcom.2020.154104,Enhancing the reversibility of SnCoS4 microflower for sodium-ion battery anode material,2020,,15,crossref
10.1149/ma2023-024521mtgabs,Heterostructure Design of Anode Materials for High-Performance Sodium-Ion Batteries,2023,"<jats:p>  	The growing global demand for carbon neutrality has led to an increase in the use of electric vehicles and large-scale energy storage systems, which rely heavily on lithium-ion batteries. However, there are concerns about the limited availability of lithium resources, which may result in depletion and price increases in the near future. To solve this issue, researchers are actively exploring alternative next-generation secondary battery systems to replace current lithium-ion batteries",1,crossref
10.1149/ma2019-01/2/136,Cu<sub>2</sub>s As a Superior Anode for Sodium-Ion Batteries,2019,"<jats:p> 	There has been an ever-increasing demand on renewable clean energies (e.g., solar energy and wind energy), given the facts that fossil fuels (i.e., petroleum, coal, and natural gas) are depleting and causing environmental issues. Because of their intermittent operations, however, these renewable clean energies rely on large-scale electrical energy storage (EES) systems to realize their wide implementation in the grids. To this end, sodium-ion batteries (SIBs) have been highly regarded ",1,crossref
10.1016/j.nanoen.2017.07.026,Cu4SnP10 as a promising anode material for sodium ion batteries,2017,,48,crossref
10.1016/j.partic.2025.10.017,Recent progress on anode materials and their preparation for use in sodium ion batteries,2025,,1,crossref
10.3390/nano7090252,TiO2 Nanobelt@Co9S8 Composites as Promising Anode Materials for Lithium and Sodium Ion Batteries,2017,"<jats:p>TiO2 anodes have attracted great attention due to their good cycling stability for lithium ion batteries and sodium ion batteries (LIBs and SIBs). Unfortunately, the low specific capacity and poor conductivity limit their practical application. The mixed phase TiO2 nanobelt (anatase and TiO2-B) based Co9S8 composites have been synthesized via the solvothermal reaction and subsequent calcination. During the formation process of hierarchical composites, glucose between TiO2 nanobelts and C",32,crossref
10.1016/j.jallcom.2020.154879,Spindle-shaped core-shell Fe3O4@N-doped carbon composites scattered in graphene as excellent anode materials for lithium/sodium ion battery,2020,,39,crossref
10.1038/srep35620,Micro-nano structure hard carbon as a high performance anode material for sodium-ion batteries,2016,"<jats:title>Abstract</jats:title><jats:p>Superior first-cycle Coulomb efficiency (above 80%) is displayed by filter paper-derived micro-nano structure hard carbon, and it delivers a high reversible capacity of 286 mAh g<jats:sup>−1</jats:sup> after 100 cycles as the anode for Na-ion battery at 20 mA g<jats:sup>−1</jats:sup>. These advantageous performance characteristics are attributed to the unique micro-nano structure, which reduced the first irreversible capacity loss by limiting the contact ",68,crossref
10.1149/ma2016-02/1/79,Antimony Sulphide As an Anode Material for Lithium and Sodium Ion Batteries,2016,"<jats:p>Antimony sulphide (Sb<jats:sub>2</jats:sub>S<jats:sub>3</jats:sub>) has been chosen as promising electrode material for lithium and sodium ion batteries due to the high theoretical capacity. In this study, we report on the lithium and sodium electrochemical behaviors of Sb<jats:sub>2</jats:sub>S<jats:sub>3</jats:sub> anode materials with different sizes and morphologies obtained from various routes. Four different types of Sb<jats:sub>2</jats:sub>S<jats:sub>3</jats:sub> samples are evalu",0,crossref
10.1016/j.jechem.2023.04.043,A review on anode materials for lithium/sodium-ion batteries,2023,,299,crossref
10.3866/pku.whxb202007075,Recent Advances in 3D Array Anode Materials for Sodium-Ion Batteries,2020,,16,crossref
10.3390/polym12030555,Spinel rGO Wrapped CoV2O4 Nanocomposite as a Novel Anode Material for Sodium-Ion Batteries,2020,"<jats:p>Binary mixed transition-based metal oxides have some of the most potential as anode materials for rechargeable advanced battery systems due to their high theoretical capacity and tremendous electrochemical performance. Nonetheless, binary metal oxides still endure low electronic conductivity and huge volume expansion during the charge/discharge processes. In this study, we synthesized a reduced graphene oxide (rGO)-wrapped CoV2O4 material as the anode for sodium ion batteries. The X-ray ",19,crossref
10.1016/j.jpowsour.2016.11.095,Newer polyanionic bio-composite anode for sodium ion batteries,2017,,8,crossref
10.1039/c5ra25645c,Nanostructured WSe<sub>2</sub>/C composites as anode materials for sodium-ion batteries,2016,<p>75.57% crystal WSe<sub>2</sub> nanoparticles are uniformly dispersed on a carbon matrix to form WSe<sub>2</sub>/C nanomaterials using a solid-state reaction. The WSe<sub>2</sub>/C nanomaterials in sodium-ion batteries exhibit high discharge capacity and excellent cycling stability.</p>,63,crossref
10.1149/ma2016-02/5/662,Divalent Tin Oxide (SnO) Carbon Composite As Superior Anode in Sodium-Ion Batteries,2016,"<jats:p>In the sodium system, perhaps the greatest technical hurdle to overcome is the lack of a high-performance anode material, which has good capacity, is easy to synthesize, safe, non-toxic and is low cost. The opportunity in this area is to develop a new anode material that meets all of these criteria. To date there are a handful of examples in the literature that show the chemistry and battery performance of ambient temperature sodium ion battery anodes. Most of these are various carbon ma",0,crossref
10.56651/lqdtu.jst.v16.n03.274,SOLID STATE REACTION SYNTHESIS AND ELECTROCHEMICAL CHARACTERIZATION OF Na2Ti3O7 AS ANODE MATERIAL FOR SODIUM ION BATTERIES,2021,"<jats:p>In this work, we were successfully synthesized Na2Ti3O7 material by solid state reaction method which used NaOH and TiO2 as the precursors. Structural and morphological characterization of synthesized materials were confirmed by X-ray diffraction (XRD) and scanning electron microscopy (SEM). The XRD results indicated that, the Na2Ti3O7 material with single crystal structure is formed at a reaction temperature of 900oC. The electrochemical performance of Na2Ti3O7 material is evaluated by ",0,crossref
10.1360/ssc-2021-0173,Research progress of metal selenides anode materials for sodium-ion batteries,2021,,0,crossref
10.1016/j.cej.2023.145984,Stable anode interface regulation of solid sodium battery through oxygen potential regulation,2023,,5,crossref
10.1016/j.inoche.2025.114417,Electrochemical studies on Lagerstroemia speciosa based hard carbon anode for sodium ion batteries,2025,,3,crossref
10.1039/d5su00360a,Machine learning prediction of the reversible capacities of a biomass-derived hard carbon anode for sodium-ion batteries,2025,<jats:p>This work utilized machine learning (ML) modeling to predict and validate the reversible capacities of a biomass-derived hard carbon anode – a means to enhance the development of anodes for sustainable sodium-ion batteries.</jats:p>,5,crossref
10.1016/j.matlet.2021.129813,Novel MnBi4S7/graphene composite as sodium-ion batteries anode,2021,,4,crossref
10.1016/j.matlet.2016.11.110,Phosphorus-doped pitch-derived soft carbon as an anode material for sodium ion batteries,2017,,58,crossref
10.1149/ma2016-01/1/66,Novel Cobalt Sulfide/Reduced Graphene Oxides Composite As Advanced Anode for Sodium-Ion Batteries,2016,"<jats:p>As an alternative energy storage technology to the predominantly employed lithium-ion batteries (LIBs), sodium-ion batteries (SIBs) have revitalized increasing scientiﬁc attention for large-scale applications, mainly because of the low cost, large resource availability, and similar chemistry of sodium with lithium. However, the main bottleneck to the commercialization of SIBs is the limited choice of anode materials. It is well known that Na ions are about 55% larger in radius compared w",0,crossref
10.1149/ma2021-016387mtgabs,Ultrastable Sn-Based Anode Enabled By a Self-Nanocrystallization Strategy for Sodium-Ion Batteries,2021,"<jats:p>  	Sodium ion batteries (SIBs) are considered as an alternative of lithium-ion batteries (LIBs) in large scale energy storage due to the rich resource and low cost of sodium. However, compared with lithium ion (Li<jats:sup>+</jats:sup>), sodium ion (Na<jats:sup>+</jats:sup>) has a larger ionic radius and sluggish diffusion kinetics, hindering the further practical applications of SIBs. Hence, considerable efforts have been devoted to develop high-performance anode materials with low cost",0,crossref
10.1039/c5ra19548a,A graphene/nitrogen-doped carbon nanofiber composite as an anode material for sodium-ion batteries,2015,<p>A graphene/N-doped porous carbon nanofiber (RGO/NPC) composite was designed as an anode material for sodium-ion batteries (SIBs). A microstructure of fine and uniform N-doped porous carbon nanofibers decorated on 2D RGO sheets was obtained.</p>,20,crossref
10.1149/ma2016-02/5/826,A Renewable Anthraquinone Derivative As Organic Anode Materials for Sodium-Ion Batteries,2016,"<jats:p>Most renewable energy, like wind energy and solar energy, is dispersive and discontinuous because of energy distribution and geographic factors. Therefore, we need energy storage devices to collect and store them. Na-ion batteries are suitable for large-scale energy storage considering abundant natural resources.<jats:sup>1</jats:sup> Here, we report a renewable anthraquinone derivative as organic anode materials for sodium-ion batteries. The alizarin is extracted from the roots of madde",0,crossref
10.2139/ssrn.4196728,Molten Salt Synthesis of Carbon Anode for High-Performance Sodium-Ion Batteries,2022,,0,crossref
10.3390/nano8030135,Three-Dimensional SnS Decorated Carbon Nano-Networks as Anode Materials for Lithium and Sodium Ion Batteries,2018,"<jats:p>The three-dimensional (3D) SnS decorated carbon nano-networks (SnS@C) were synthesized via a facile two-step method of freeze-drying combined with post-heat treatment. The lithium and sodium storage performances of above composites acting as anode materials were investigated. As anode materials for lithium ion batteries, a high reversible capacity of 780 mAh·g−1 for SnS@C composites can be obtained at 100 mA·g−1 after 100 cycles. Even cycled at a high current density of 2 A·g−1, the reve",31,crossref
10.3390/inorganics11070289,Recent Advances in Anode Materials for Sodium-Ion Batteries,2023,"<jats:p>Although lithium-ion battery (LIB) technology has prevailed for years, the growing pressure and increased cost of lithium sources urge the rapid development of other promising energy storage devices. As a low-cost alternative, sodium-ion batteries (SIBs) with similar properties of electrochemical reaction have caught researchers’ attention. Nevertheless, great challenges of inferior reversible capacity and poor lifespan induced by the bigger ionic radius of sodium ions still exist. To so",30,crossref
10.1016/j.matpr.2022.11.245,Next generation sodium-ion battery: A replacement of lithium,2022,,7,crossref
10.3390/ma16134871,The Recent Progress of Pitch Nanoengineering to Obtain the Carbon Anode for High-Performance Sodium Ion Batteries,2023,"<jats:p>As an anode material for sodium ion batteries (SIBs), carbon materials have attracted people’s interest because of their abundant resources, good structural stability and low cost. Among most carbon precursors, pitch is viewed as a promising one because of a higher carbon content, good oxidation reversibility and low cost. However, the pitch-based carbon obtained with direct pyrolysis of pitch displays a high degree of graphitization and small layer spacing, which is unfavorable for the ",18,crossref
10.1016/j.elecom.2023.107439,Wood-derived carbon anode for sodium-ion batteries,2023,,32,crossref
10.1016/j.commatsci.2024.112888,α-SiS/black phosphorus van der Waals heterostructure: A promising anode material for sodium-ion batteries,2024,,5,crossref
10.1149/ma2023-024742mtgabs,Sustainable Lignin-Based 3D Porous Carbon Nanofibers As a Na-Ion Battery Anode,2023,"<jats:p>  	Rechargeable lithium-ion batteries (LIBs) have been increasingly popular in recent years in response to the growing need for large-scale energy storage applications and systems. However, due to the scarcity of lithium resources and their unequal distribution in the earth's crust, the present energy crisis has encouraged research into producing greener and more sustainable alternatives. Due to the relatively high abundance of sodium compared to lithium, sodium-ion batteries (SIBs) rais",0,crossref
10.1149/ma2016-02/5/831,Electrospun Mns/Porous Carbon Fibers: A Novel Anode Materials for Sodium-Ion Batteries,2016,"<jats:p>Metal sulfides have attracted much attention as anode for sodium-ion batteries (SIBs) due to their high specific capacity and low price. Among all the sulfides, MnS has shown a high theory capacity of 610 mAh g<jats:sup>-1</jats:sup> in SIBs<jats:sup>1</jats:sup>. However, the sodium storage performance of MnS was rather poor because of its poor conductivity and drastic volume changes during their conversion reaction process. In order to solve this problem, it’s essential to design the M",1,crossref
10.1149/ma2016-01/5/505,"Lithium Biphenyl-3,3',4,4'-Tetracarboxylate Based Anode Material for Li and Na-Ion Battery Application",2016,"<jats:p>Li-ion batteries (LIBs) contribute prominently to the energy storage field due to their acceptable cyclibility and higher energy density [1]. However the traditional inorganic based electrode materials suffering due to the constraint imposed by their structural aspects and scarcity of resources. Hence the focus is on the alternative electrode materials which could be synthesized from renewable sources via eco-friendly processes [1,2]. Recently redox active conjugated carbonyl compounds h",1,crossref
10.1166/jnn.2018.15690,Electrochemical Properties of Micron-Sized SnO Anode Using a Glyme-Based Electrolyte for Sodium-Ion Battery,2018,,6,crossref
10.1016/j.cclet.2024.110452,Boron/phosphorus co-doped nitrogen-rich carbon nanofiber with flexible anode for robust sodium-ion battery,2025,,8,crossref
10.1021/acs.langmuir.5c03375,Boosting Sodium Storage in Hard Carbon: A Low-Temperature Ball Milling Approach for Superior Anode Performance,2025,,2,crossref
10.1007/s11051-018-4245-z,Based on Cu as framework constructed nanoporous CuO/Cu composites by a dealloy method for sodium-ion battery anode,2018,,9,crossref
10.1016/j.carbon.2021.04.095,Exploration of fast ion diffusion kinetics in graphene nanoscrolls encapsulated CoSe2 as advanced anode for high-rate sodium-ion batteries,2021,,59,crossref
10.1016/j.surfin.2025.107044,Ab initio study of two-dimensional β-Si3N4 monolayer as a promising anode for sodium-ion batteries,2025,,2,crossref
10.3390/batteries10020048,Effect of Mn Substitution on GeFe2O4 as an Anode for Sodium Ion Batteries,2024,"<jats:p>GeFe2O4 (GFO), with its intriguing intercalation mechanism based on alloying–conversion reactions, was recently proposed as an anode material for sodium ion batteries (SIBs). However, drawbacks related to excessive volume expansion during intercalation/deintercalation and poor electronic conductivity enormously hinder its practical application in batteries. In this regard, some experimental strategies such as cation substitutions and proper architectures/carbon coatings can be adopted. I",1,crossref
10.1149/ma2016-02/5/771,Synthesis and Characterization of Mg-Doped Na<sub>0.6</sub>Ni<sub>0.3-X</sub>Mg<sub>x</sub>Ti<sub>0.7</sub>O<sub>2 </sub>as Anode Material for Sodium Ion Battery,2016,"<jats:p>Recently, sodium-ion batteries (SIB) have gained great amount of attention as a next generation rechargeable battery. The lithium-ion batteries (LIB) have been successfully commercialized and widely applied in electronic devices, vehicles, etc. due to its high energy density. Compared to LIB, SIB system is more desirable in view point of cost because the sodium source is more abundant and widely distribution. Similar to LIB, many studies about SIB cathode reported electrode materials wit",0,crossref
10.1016/j.jelechem.2023.117553,Heteroatoms tri-doped carbon hollow spheres as the anode material of sodium ion battery,2023,,7,crossref
10.3390/c11040082,Bituminous Coal-Derived Carbon Anode: Molten Salt-Assisted Synthesis and Enhanced Performance in Sodium-Ion Battery,2025,"<jats:p>The high-efficiency and clean utilization of coal resources is a key strategy for new energy development, and converting coal into carbon materials offers a promising route to valorize bituminous coal. However, fabricating high-performance bituminous coal-derived carbon for sodium ion (Na+) insertion/extraction remains a major challenge, as it is difficult to regulate the carbon’s microstructural properties to match Na+ storage demands. Herein, we propose a molten salt-assisted carboniza",0,crossref
10.2139/ssrn.4176827,High-Capacity And Sb/Sn Phase Modulated Sso As Advanced Anode Material for Sodium-Ion Batteries,2022,,0,crossref
10.1016/j.matlet.2020.128109,A simple synthesized N-doped FeS2/Fe3O4@C nanocomposite as anode for sodium ion batteries,2020,,10,crossref
10.1149/ma2016-03/2/1101,Sn/C Nano-Rattle Anode Material for High Energy Sodium Ion Batteries,2016,"<jats:p> 	Introduction: </jats:p>
               <jats:p>The current commercial anode material, graphite has low energy density (375 mAh/g) and safety problems due to lithium deposition<jats:sup>[1]</jats:sup>. Alloy anodes (Li<jats:sub>x</jats:sub>Sn or Li<jats:sub>x</jats:sub>Si) are found to be interesting in terms of high energy-density, enhanced safety and long cycle life. The theoretical specific capacities of alloy anodes are 2-10 times higher than that of graphite and 4-20 times higher t",0,crossref
10.2139/ssrn.4084516,N-Functionalized Ti2b Mbene as High-Performance Anode Materials for Sodium-Ion Batteries: A Dft Study,2022,,0,crossref
10.1038/s41598-017-08341-y,MoS2@rGO Nanoflakes as High Performance Anode Materials in Sodium Ion Batteries,2017,"<jats:title>Abstract</jats:title><jats:p>A simple one-pot hydrothermal method is developed for fabrication of MoS<jats:sub>2</jats:sub>@rGO nanoflakes using the economical MoO<jats:sub>3</jats:sub> as the molybdenum source. Benefiting from the unique nanoarchitecture, high MoS<jats:sub>2</jats:sub> loading (90.3 wt%) and the expanded interlayer spacing, the as-prepared MoS<jats:sub>2</jats:sub>@rGO nanoflakes exhibit greatly enhanced sodium storage performances including a high reversible specif",60,crossref
10.1360/ssc-2020-0217,Research progress of carbon anode materials for sodium-ion batteries,2021,,1,crossref
10.1080/10584587.2018.1521672,Preparation of MoP<sub>2</sub> nanoparticles as a novel anode material for sodium ion batteries,2018,,3,crossref
10.1134/s1023193524700411,Research Progress of Cobalt Based Phosphide Anode Materials for Sodium-Ion Batteries,2024,,0,crossref
10.1016/j.elecom.2025.107877,A li+/Na+ hybrid rechargeable full battery comprising rice husk porous hard carbon anode and sodium vanadium phosphate,2025,,1,crossref
10.1149/ma2025-025840mtgabs,Towards Developing Nanoscale Transition Metal Phosphides as Anode Materials in Sodium-Ion Batteries,2025,"<jats:p>
                    As energy storage solutions move beyond lithium-ion batteries, electrode materials must be developed since lithium chemistries do not directly translate to energy storage alternatives such as sodium-ion batteries (NIBs). Sodium has a larger radius compared to lithium which results in slower diffusion and large volume expansion. Conversion materials like phosphorous (P) are promising electrodes for NIBs but suffer from large volume expansion upon cycling and low elect",0,crossref
10.2139/ssrn.4091482,A Novelty Strategy for Preparing Ternary Fes2-Fe7s8-Fecl2 Composite as Anode Material for Sodium-Ion Batteries,2022,,0,crossref
10.1016/j.chemosphere.2023.140220,Invasive alien plant biomass-derived hard carbon anode for sodium-ion batteries,2023,,34,crossref
10.1149/ma2016-03/2/1120,Investigation of GeP<sub>5</sub> As a High Reversible and Large Capacity Anode Material for Sodium Ion Batteries,2016,"<jats:p> 	Sodium ion batteries (SIB) have attracted more and more research interests recently as a low-cost alternative for LIB. The great challenge is to find proper electrode materials which can satisfy the requirements of commercial application. Among the current reported anodes for SIB, black phosphorus which holds a layered structure and possess high conductivity, can exhibit a large capacity as well as good rate performances, thus becomes the star material in SIB.[1-2] However, the critica",0,crossref
10.1149/ma2016-02/5/800,Octahedron like Antimony Oxide: An Efficient Anode for Rechargeable Sodium Ion Batteries,2016,"<jats:p>Rechargeable electrochemistry’s, Li-ion batteries (LIBs) have been greatly considered as one of the most important energy storage devices for portable electronic devices and stationary energy storage, due to their advantages of high energy density, excellent cycling stability and environmental friendliness. However, the low abundance and uneven distribution of lithium resources show the potential difficulties of the long-term and large-scale applications of lithium-ion batteries in terms",0,crossref
10.1039/d4cc00025k,Hierarchically porous closed-pore hard carbon as a plateau-dominated high-performance anode for sodium-ion batteries,2024,<jats:p>Sucrose-derived micro spherical hard carbon with diverse porosity and closed pores exhibits an excellent reversible capacity of 251 mA h g<jats:sup>−1</jats:sup> at 1C and capacity retention of 84% after 500 cycles.</jats:p>,31,crossref
10.1149/ma2016-02/39/2988,(Invited) All-Solid-State Sodium-Ion Battery with Nasicon,2016,"<jats:p>All solid-state battery is an ideal in the viewpoint of safety and reliability. However, to achieve room temperature drivable all-solid-state battery, it is necessary to improve the battery reaction rate in the solid phase. So far, many efforts of researchers have been devoted to realize the high bulk ionic conductivity of solid electrolyte at room temperature as same as that of the liquid organic electrolytes. Although the target values were achieved by the sulfide solid electrolyte, Li",0,crossref
10.1149/ma2016-01/5/512,Novel D-Glucose Derived Hard Carbon Anode for Sodium-Ion Batteries,2016,"<jats:p>The synthesis and characterization of a hard carbon anode material for room-temperature sodium-ion battery is being reported. The carbon material was prepared via two-step process including hydrothermal carbonization (HTC) and pyrolysis. Similar carbon materials were recently synthesized and investigated by our group as supercapacitor electrode materials [1,2]. Sodium-ion batteries have emerged as a promising candidate for large-scale energy storage due to sodium’s abundance and low cost",0,crossref
10.1016/j.electacta.2018.10.171,WITHDRAWN: Hard Carbon Wrapped in Graphene Networks as Lithium Ion Battery Anode,2018,,0,crossref
10.1149/07001.0275ecst,Graphitic Carbon as a Part of Anode Material for Rechargeable Sodium Ion Batteries,2015,"<jats:p>Electrodes have been successfully prepared from two types of carbon (CR5995 and NORIT<jats:sup>®</jats:sup> GL50). We prepared and described preparation of two equivalent electrolytes.The first electrolyte (1 M LiClO<jats:sub>4 </jats:sub>1:1 EC:DMC)was prepared for lithium and the second electrolyte (0,5 M NaClO<jats:sub>4</jats:sub>1:1 EC:DMC) for sodium system .Both materials were tested GCPL (Galvanostatic Cycling with Potential Limitation) procedure and CV (Ciclyc Voltametry) proced",0,crossref
10.31613/ceramist.2024.27.1.05,Recent Progress in Developing High-Performance Anode Materials for Next-Generation Sodium-Ion Batteries,2024,"<jats:p>Rechargeable lithium-ion batteries (LIBs) have attracted great attention due to their large-scale energy storage applications such as electric vehicles (EVs) and grid-scale energy storage systems (ESSs). The ongoing transition towards EVs has accelerated ever-increasing demand for LIBs that causes the shortage of lithium metal resources and their expensive price. Therefore, great efforts have been made to exploit an alternative system that replaces the conventional LIBs. While sodium-ion",1,crossref
10.1149/ma2017-01/5/391,Porous Structured SnO<sub>2</sub> Nanofibers and Nanotubes As Anode Materials for Sodium-Ion Batteries,2017,"<jats:p> 	Sodium has similar electrochemical properties compare to lithium besides its abundancy on earth. Sodium-ion batteries are promising cost-effective alternatives to lithium-ion batteries for large scale applications where weight and energy density are of minor importance However, poor cycling stability and lower energy density of current sodium-ion batteries hinder their practical applications. Due to its excellent sodium ion storing capacity, tin dioxide (SnO<jats:sub>2</jats:sub>) emer",0,crossref
10.1149/ma2017-01/1/46,Fabrication and in-Situ Characterization of NbS<sub>2</sub> Nanosheets As the Anode Material for Sodium Ion Batteries,2017,"<jats:p> 	Recently, sodium ion battery (SIB) has attracted considerable attentions and been regarded as the promising alternative to Li ion battery (LIB) for electric energy storage (EES), owing to the nature abundance of sodium sources [1]. Graphite, the typical LIBs anode has been studied as the SIBs anode, but the specific capacity is low as it cannot store sufficient Na<jats:sup>+</jats:sup> between its layers. Therefore, searching for appropriate anode material is a hot topic and vital for ",0,crossref
10.1016/j.elecom.2021.107025,Electrochemical exfoliation of porous antimonene as anode materials for sodium-ion batteries,2021,,22,crossref
10.3389/fenrg.2022.888321,Improving In-Situ Sodium Metal Plating on Copper Foil Through Optimization of Mechanical Pressure: Towards High-Performance Anode-Free Sodium Ion Batteries,2022,"<jats:p>Herein we report key developments on the scale-up of sodium ion anode free batteries through investigation of the effects of applied external pressure cell performance. Sodium ion anode free puts extra emphasis on high plating and stripping efficiency of sodium metal at the anode surface, due to the lack of an excess of the transporting ion. We demonstrate excellent Na||Cu half-cell results in coin cell configuration, and the scalability of the anode-free concept is further demonstrated,",20,crossref
10.3389/fchem.2022.986541,Recent advances for SEI of hard carbon anode in sodium-ion batteries: A mini review,2022,"<jats:p>The commercialization of sodium-ion batteries has been hampered by the anode’s performance. Carbon-based anodes have always had great application prospects, but traditional graphite anodes have great application limitations due to the inability of reversible insertion/de-insertion of sodium ions in them, while hard carbon materials have the high theoretical capacity, low reaction potential has received extensive attention in recent years. Nevertheless, the low first cycle Coulomb efficie",61,crossref
10.1016/j.jelechem.2023.117432,Layered hollow FeSe2 based on salt template as anode for sodium-ion batteries with advanced electrochemical performance,2023,,12,crossref
10.1007/s10853-015-8975-3,Electrochemical characterization of Co3O4/MCNTs composite anode materials for sodium-ion batteries,2015,,51,crossref
10.1007/s11581-018-2658-4,Mesoporous Na2Ti3O7 microspheres with rigid framework as anode materials for high-performance sodium ion batteries,2018,,9,crossref
10.1134/s1063739723070223,Investigation of the Electrochemical Properties of the Anode of Na-Ion Battery Based on Nanotubular Anodic TiO2,2023,,0,crossref
10.1149/ma2021-022237mtgabs,Forcespun and Coated SnO2/TiO2/C Composite Fibers as Anode Materials for Sodium Ion Batteries,2021,,0,crossref
10.1007/s11581-019-02849-1,Carbon nanotubes enhanced Sb6O13 as a new anode material for sodium-ion batteries,2019,,9,crossref
10.1007/s11581-019-03308-7,Microwave hydrothermal synthesis of SbVO4 nanospheres as anode materials for sodium ion batteries,2019,,20,crossref
10.1007/s11581-023-04976-2,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,2023,,16,crossref
10.1039/d5nr00156k,"Synthesis of a hollow MoSe
                    <sub>2</sub>
                    @MXene anode material for sodium-ion batteries",2025,"<jats:p>
                    MXene and MoSe
                    <jats:sub>2</jats:sub>
                    as a novel two-dimensional transition metal carbide and selenide, respectively, are widely used in battery electrodes.
                  </jats:p>",11,crossref
10.1360/ssc-2021-0127,Research and application of alloying-type anode materials for sodium-ion batteries,2021,,0,crossref
10.1007/s11581-018-2784-z,TiNb2O7/carbon nanotube composites as long cycle life anode for sodium-ion batteries,2018,,25,crossref
10.1016/j.jechem.2021.06.028,High-capacity Bi2O3 anode for 2.4 V neutral aqueous sodium-ion battery-supercapacitor hybrid device through phase conversion mechanism,2022,,73,crossref
10.1016/j.mssp.2025.109968,Tetragonal gallium phosphide monolayer: A promising anode material for sodium-ion batteries,2025,,1,crossref
10.1038/srep43895,Glycol Derived Carbon- TiO2 as Low Cost and High Performance Anode Material for Sodium-Ion Batteries,2017,"<jats:title>Abstract</jats:title><jats:p>Carbon coated TiO<jats:sub>2</jats:sub> (TiO<jats:sub>2</jats:sub>@C) is fabricated by a convenient and green one-pot solvothermal method, in which ethylene glycol serve as both the reaction medium and carbon source without the addition of any other carbon additives. During the solvothermal process, ethylene glycol polymerize and coordinate with Ti<jats:sup>4+</jats:sup> to form the polymeric ligand precursor, then the polymer brushes carbonize and conver",44,crossref
10.1016/j.electacta.2019.01.147,High performance anode material for sodium-ion batteries derived from covalent-organic frameworks,2019,,27,crossref
10.1007/s11771-025-5961-z,Novel sodium-ion battery anode design of Sn4P3 nanoparticles loaded on biomass-derived carbon,2025,,0,crossref
